Restaurant_Name,Category,Pricing_for_2,Locality,Dining_Rating,Dining_Review_Count,Delivery_Rating,Delivery_Rating_Count,Website,Address,Phone_No,Latitude,Longitude,Known_For2,Known_For22,Average_Rating,Total_Reviews,Known_For,Category_Encoded,Locality_Encoded
Rustom's,"Parsi, Street Food, North Indian, Desserts, Beverages",1.671014279273507," ITO, New Delhi",4.9,1.1990827493322898,4.4,-0.19647474786230373,https://www.zomato.com/ncr/rustoms-ito-new-delhi,"Delhi Parsi Anjuman, LNJP Colony, Bahadur Shah Zafar Road, Near Maulana Azad Medical College Campus, ITO, New Delhi",9199111,28.638167,77.240472,Unknown,Unknown,4.65,3729,"Unknown, Unknown",1143,130
Cafe Lota,"Cafe, South Indian, North Indian, Beverages",0.31933387242013866," Pragati Maidan, New Delhi",4.9,3.1481951997254973,3.9,-0.48018244909683133,https://www.zomato.com/ncr/cafe-lota-pragati-maidan-new-delhi,"National Crafts Museum, Gate 2, Bhairon Marg, Pragati Maidan, New Delhi",91783911,28.613429,77.242471,"Pondicherry Fish Curry, Coconut Rabdi, Sabudana Pop Corn, Chicken Pasanda, Majestic Chicken, Bhapa Doi","Artistic Decor, The Service, Natural Ambience, Fusion Menu, Serene Ambience, Fusion Food",4.4,3785,"Pondicherry Fish Curry, Coconut Rabdi, Sabudana Pop Corn, Chicken Pasanda, Majestic Chicken, Bhapa Doi, Artistic Decor, The Service, Natural Ambience, Fusion Menu, Serene Ambience, Fusion Food",299,233
Burma Burma,"Asian, Burmese, Bubble Tea, Desserts, Salad",0.9200807199105246," Cyber Hub, DLF Cyber City, Gurgaon",4.9,1.9847958197806521,4.4,-0.2916196659298874,https://www.zomato.com/ncr/burma-burma-dlf-cyber-city,"Shop 6, Ground Floor, Building 8, Tower C, Cyber Hub, DLF Cyber City, Gurgaon",91124411,28.49446439,77.08853245,"Coconut Milk Dessert, Honey Caviar, Kaffir Lime Cooler, Samosa Curry, Samosa Soup, Corn Curry","Knowledgeable Staff, Authentic, Soothing Ambience, Dessert Menu, Pure Veg, Cozy",4.65,3874,"Coconut Milk Dessert, Honey Caviar, Kaffir Lime Cooler, Samosa Curry, Samosa Soup, Corn Curry, Knowledgeable Staff, Authentic, Soothing Ambience, Dessert Menu, Pure Veg, Cozy",18,66
The Big Chill,"Continental, American, Italian",0.7698940080379282," Khan Market, New Delhi",4.9,6.013798528564464,3.964299424184261,-0.4859916272626739,https://www.zomato.com/ncr/the-big-chill-khan-market-new-delhi,"68-A, Khan Market, New Delhi",91114211,28.60035007,77.22749334,"Irish Cream Tiramisu, Penne Vodka, Mississippi Mudpie, Iced Tea Pitcher, Tuna Melt, Banofi Pie","Retro Ambience, Yummy Desserts, Big Portions, Big Menu, Happy Place, Great Decor",4.432149712092131,6487,"Irish Cream Tiramisu, Penne Vodka, Mississippi Mudpie, Iced Tea Pitcher, Tuna Melt, Banofi Pie, Retro Ambience, Yummy Desserts, Big Portions, Big Menu, Happy Place, Great Decor",404,155
Carnatic Cafe,South Indian,-0.5817863988154403," Lodhi Colony, New Delhi",4.9,1.861341569031109,4.2,-0.33982014422485146,https://www.zomato.com/ncr/carnatic-cafe-lodhi-colony-new-delhi,"84-85, Meharchand Market, Lodhi Road, Near Lodhi Colony, New Delhi",91966711,28.584296,77.226613,"Malleshwari Dosa, Benne Khali Dosa, Obbattu, Raagi Masala Dosa, Bombat Dosa, Puliyogare","Cosy Ambience, Live Kitchen, Quiet Place, Calm, Cosy Place, Nice Decor",4.550000000000001,3449,"Malleshwari Dosa, Benne Khali Dosa, Obbattu, Raagi Masala Dosa, Bombat Dosa, Puliyogare, Cosy Ambience, Live Kitchen, Quiet Place, Calm, Cosy Place, Nice Decor",1209,171
"Cocktails & Dreams, Speakeasy","Nepalese, Tibetan, Beverages",2.271761126763893," Sector 15, Gurgaon",4.9,0.585996385440492,3.8,-0.48206650688034786,https://www.zomato.com/ncr/cocktails-dreams-speakeasy-sector-15,"SCO 23, Sector 15, Gurgaon",91124411,28.45797541,77.0446267,"Classic Martini, Coktails, Bloody Mary, Calamari, Bacon, Pork","Jazz Music, Band Playing, Bartender, Live Band, Live Performances, Bar Counter",4.35,1324,"Classic Martini, Coktails, Bloody Mary, Calamari, Bacon, Pork, Jazz Music, Band Playing, Bartender, Live Band, Live Performances, Bar Counter",769,284
Natural Ice Cream,"Ice Cream, Desserts",-0.8821598225606332," Connaught Place, New Delhi",4.9,3.4264903751439584,4.5,0.6081749305145385,https://www.zomato.com/NaturalsCP,"L-8, L Block, Outer Circle, Connaught Place, New Delhi",91114411,28.63444917,77.22203437,"Watermelon Ice Cream, Choco Bite, Chocobite, Choco Almond, Roasted Almond Ice Cream, Tender Coconut Ice Cream","Bank for the Buck, Totally Worth it, Coffee Date, Table Service, Happy Place, Great Flavour",4.7,10983,"Watermelon Ice Cream, Choco Bite, Chocobite, Choco Almond, Roasted Almond Ice Cream, Tender Coconut Ice Cream, Bank for the Buck, Totally Worth it, Coffee Date, Table Service, Happy Place, Great Flavour",608,53
Juggernaut,"South Indian, North Indian, Fast Food, Desserts, Beverages",-0.4315996869428438," Kailash Colony, New Delhi",4.8,1.8215851153999003,4.2,-0.3960278680997606,https://www.zomato.com/ncr/juggernaut-kailash-colony-new-delhi,"HS-16, Main Market, Kailash Colony, New Delhi",91114111,28.55293914,77.24094898,"Podi Ghee Idli, Chettinad Idli, Ganne Ka Ras, Pesarattu, Appalam, Chettinad Curry","Everything was very Good, Calm, Lovely Ambience, Soothing Music, Warm Welcome, Ambience was Super Cool",4.5,3053,"Podi Ghee Idli, Chettinad Idli, Ganne Ka Ras, Pesarattu, Appalam, Chettinad Curry, Everything was very Good, Calm, Lovely Ambience, Soothing Music, Warm Welcome, Ambience was Super Cool",1231,146
Comorin,"North Indian, Desserts, Beverages",2.271761126763893," Two Horizon Center, Golf Course Road, Gurgaon",4.8,0.06707004330682013,4.4,-0.4519215823440837,https://www.zomato.com/ncr/comorin-golf-course-road,"101, 1st Floor, Plaza Level, Two Horizon Center, Golf Course Road, Gurgaon",91124511,28.45154524,77.0971011,"Champaran Style Mutton, Gunpowder Idli, Coktails, Sev Puri, Haleem, Chocolate Dessert","Bar Games, Vintage Decor, Soft Music, Fancy Crowd, Great Recommendations, Courteous Staff",4.6,1020,"Champaran Style Mutton, Gunpowder Idli, Coktails, Sev Puri, Haleem, Chocolate Dessert, Bar Games, Vintage Decor, Soft Music, Fancy Crowd, Great Recommendations, Courteous Staff",969,393
Viet:Nom,"Vietnamese, Beverages",1.5208275674009106," Cyber Hub, DLF Cyber City, Gurgaon",4.8,0.6717866274867846,4.0,-0.47421626611569573,https://www.zomato.com/ncr/vietnom-dlf-cyber-city,"17-18, DLF Phase 2, DLF Cyber Hub, Near DLF Cyber City, Gurgaon",91851211,28.49569519,77.08890092,Unknown,Unknown,4.4,1456,"Unknown, Unknown",1276,66
